rank_2020,city,Fact,state,largest_city_in_state,state_capital,federal_capital,population_2020,population_2010,absolute_change,percent_change,land_area_sqmi,land_area_sqkm,pop_density_2020_sqmi,pop_density_sqkm,latitude,longitude,
1,New York,22% of this city is used for public parks,New York,TRUE,FALSE,FALSE,8804190,8175133,629057,7.69,300.5,778.3,29298,11312,40°40′N,73°56′W,
2,Los Angeles,Only North American city to have hosted the Olympics twice,California,TRUE,FALSE,FALSE,3898747,3792621,106126,2.80,469.5,1216.0,8304,3206,34°01′N,118°25′W,
3,Chicago,Has the world’s tallest building designed by a female architect ,Illinois,TRUE,FALSE,FALSE,2746388,2695598,50790,1.88,227.7,589.7,12061,4657,41°50′N,87°41′W,
4,Houston,Home to the largest medical center in the world ,Texas,TRUE,FALSE,FALSE,2304580,2099451,205129,9.77,640.4,1658.6,3599,1390,29°47′N,95°23′W,
5,Phoenix,City with an elevation lower than the Grand Canyon ,Arizona,TRUE,TRUE,FALSE,1608139,1445632,162507,11.24,518.0,1341.6,3105,1199,33°34′N,112°05′W,
6,Philadelphia,Where the first piano in America was built in 1775,Pennsylvania,TRUE,FALSE,FALSE,1603797,1526006,77791,5.10,134.4,348.1,11933,4607,40°00′N,75°08′W,
7,San Antonio,"Robert Cade- inventor of Gatorade- was a native of this city",Texas,FALSE,TRUE,FALSE,1434625,1327407,107218,8.08,498.8,1291.9,2876,1110,29°28′N,98°31′W,
8,San Diego,A city that imports almost 90% of its fresh water ,California,FALSE,FALSE,FALSE,1386932,1307402,79530,6.08,325.9,844.1,4256,1643,32°49′N,117°08′W,
9,Dallas,This city’s zoo opened with an animal population of four ,Texas,FALSE,FALSE,FALSE,1304379,1197816,106563,8.90,339.6,879.6,3841,1483,32°47′N,96°46′W,
10,San Jose,Has the third highest GDP per capita in the world ,California,FALSE,FALSE,FALSE,1013240,945942,67298,7.11,178.3,461.8,5683,2194,37°17′N,121°49′W,
11,Austin,Known as the live music capital of the world ,Texas,FALSE,FALSE,FALSE,961855,790390,171465,21.69,319.9,828.5,3007,1161,30°18′N,97°45′W,
12,Jacksonville,Named after 7th U.S. President- Andrew Jackson,Florida,TRUE,FALSE,FALSE,949611,821784,127827,15.55,747.3,1935.5,1271,491,30°20′N,81°40′W,
13,Fort Worth,"Contains the Bureau of Engraving and Printing -- where 60% of the paper money in the U.S. is printed ",Texas,FALSE,FALSE,FALSE,918915,741206,177709,23.98,342.9,888.1,2646,1022,32°47′N,97°20′W,
14,Columbus,Original home of he first team in the NFL to play against another NFL team,Ohio,TRUE,TRUE,FALSE,905748,787033,118715,15.08,220.0,569.8,4117,1590,39°59′N,82°59′W,
15,Indianapolis,Has the largest children’s museum in the world ,Indiana,TRUE,TRUE,FALSE,887642,820445,67197,8.19,361.6,936.5,2455,948,39°46′N,86°08′W,
16,Charlotte,Nicknamed “The Hornet’s Nest” ,North Carolina,TRUE,FALSE,FALSE,874579,731424,143155,19.57,308.3,798.5,2837,1095,35°12′N,80°50′W,
17,San Francisco,Known for its hilly streets and colorful houses,California,FALSE,FALSE,FALSE,873965,805235,68730,8.54,46.9,121.5,18635,7195,37°43′N,123°02′W,
18,Seattle,Known for the country’s oldest continuously operating farmer’s market ,Washington,TRUE,FALSE,FALSE,737015,608660,128355,21.09,83.8,217.0,8795,3396,47°37′N,122°21′W,
19,Denver,Where the cheeseburger was invented ,Colorado,TRUE,TRUE,FALSE,715522,600158,115364,19.22,153.1,396.5,4674,1805,39°46′N,104°53′W,
20,Washington,Has a monument that was the world’s tallest man made structure until the Eiffel Tower was completed ,District of Columbia,FALSE,FALSE,TRUE,689545,601723,87822,14.60,61.1,158.2,11286,4358,38°54′N,77°01′W,
21,Nashville,“Hometown of country music and the birthplace of bluegrass” ,Tennessee,TRUE,TRUE,FALSE,689447,601222,88225,14.67,475.8,1232.3,1449,559,36°10′N,86°47′W,
22,Oklahoma City,Has the scissor-tailed flycatcher as their state bird ,Oklahoma,TRUE,TRUE,FALSE,681054,579999,101055,17.42,606.2,1570.1,1123,434,35°28′N,97°31′W,
23,El Paso,This state has 302 days of sunshine a year ,Texas,FALSE,FALSE,FALSE,678815,649121,29694,4.57,258.4,669.3,2627,1014,31°50′N,106°25′W,
24,Boston,City where the first chocolate factory in the USA was built ,Massachusetts,TRUE,TRUE,FALSE,675647,617594,58053,9.40,48.3,125.1,13989,5401,42°20′N,71°01′W,
25,Portland,The most bike friendly city in America ,Oregon,TRUE,FALSE,FALSE,652503,583776,68727,11.77,133.5,345.8,4888,1887,45°32′N,122°39′W,
26,Las Vegas,"This city has over 150000 hotel rooms",Nevada,TRUE,FALSE,FALSE,641903,583756,58147,9.96,141.8,367.3,4527,1748,36°13′N,115°16′W,
27,Detroit,This city's name is French for “strait” ,Michigan,TRUE,FALSE,FALSE,639111,713777,-74666,-10.46,138.7,359.2,4608,1779,42°23′N,83°06′W,
28,Memphis,The hardwood/spot cotton market capital of the world ,Tennessee,FALSE,FALSE,FALSE,633104,646889,-13785,-2.13,297.0,769.2,2132,823,35°06′N,89°58′W,
